symbol,timestamp,date,session,open,high,low,close,volume,vwap,mktcap,turnover
agx,2023-01-03 12:00:00-05:00,2023-01-03,AM,36.8300,37.3000,36.8000,36.9086,13920,36.9992,509765897.0450,0.0010
agx,2023-01-03 16:00:00-05:00,2023-01-03,PM,36.8900,37.0000,36.6100,36.7100,42668,36.7799,507022918.2500,0.0031
agx,2023-01-04 12:00:00-05:00,2023-01-04,AM,37.0500,37.0500,36.8300,36.8700,4386,36.9103,509232770.2500,0.0003
agx,2023-01-04 16:00:00-05:00,2023-01-04,PM,36.9300,36.9300,36.4300,36.7600,35630,36.6828,507713497.0000,0.0026
agx,2023-01-05 12:00:00-05:00,2023-01-05,AM,36.5100,36.5100,36.1060,36.3650,9840,36.4144,502257924.8750,0.0007
agx,2023-01-05 16:00:00-05:00,2023-01-05,PM,36.3600,36.6700,36.3600,36.4400,35494,36.5110,503293793.0000,0.0026
agx,2023-01-06 12:00:00-05:00,2023-01-06,AM,36.9100,37.2900,36.8000,37.1500,17023,37.1233,513100011.2500,0.0012
agx,2023-01-06 16:00:00-05:00,2023-01-06,PM,37.1500,37.2500,36.9600,36.9800,46223,37.0872,510752043.5000,0.0033
agx,2023-01-09 12:00:00-05:00,2023-01-09,AM,37.0700,37.3200,36.8500,37.0700,19188,37.1538,511995085.2500,0.0014
agx,2023-01-09 16:00:00-05:00,2023-01-09,PM,37.0700,37.1100,36.7800,36.8500,34974,36.9199,508956538.7500,0.0025
agx,2023-01-10 12:00:00-05:00,2023-01-10,AM,36.9700,36.9800,36.7000,36.9000,6126,36.8208,509647117.5000,0.0004
agx,2023-01-10 16:00:00-05:00,2023-01-10,PM,36.9500,37.6500,36.9200,37.6100,40482,37.3814,519453335.7500,0.0029
agx,2023-01-11 12:00:00-05:00,2023-01-11,AM,37.7500,38.4900,37.7500,38.4900,8762,38.2486,531607521.7500,0.0006
agx,2023-01-11 16:00:00-05:00,2023-01-11,PM,38.4800,38.9700,38.4600,38.7700,48551,38.7197,535474762.7500,0.0035
agx,2023-01-12 12:00:00-05:00,2023-01-12,AM,39.0200,39.3400,38.7516,39.0000,16222,39.0140,538651425.0000,0.0012
agx,2023-01-12 16:00:00-05:00,2023-01-12,PM,39.1150,39.5100,39.0000,39.0300,37460,39.1470,539065772.2500,0.0027
agx,2023-01-13 12:00:00-05:00,2023-01-13,AM,39.1800,39.2000,38.2800,38.2800,12718,38.7009,528707091.0000,0.0009
agx,2023-01-13 16:00:00-05:00,2023-01-13,PM,38.3750,38.8900,38.2100,38.6500,30405,38.6176,533817373.7500,0.0022
agx,2023-01-17 12:00:00-05:00,2023-01-17,AM,38.6200,39.2392,38.6200,39.2392,38856,38.8798,541955153.7400,0.0028
agx,2023-01-17 16:00:00-05:00,2023-01-17,PM,39.1200,39.3700,38.5800,38.8000,34412,38.8557,535889110.0000,0.0025
agx,2023-01-18 12:00:00-05:00,2023-01-18,AM,38.9500,39.0379,37.9750,37.9750,13543,38.1878,524494560.6250,0.0010
agx,2023-01-18 16:00:00-05:00,2023-01-18,PM,37.9700,38.1000,37.5200,37.5700,47471,37.7203,518900872.7500,0.0034
agx,2023-01-19 12:00:00-05:00,2023-01-19,AM,37.0800,37.0800,36.5600,36.8900,19512,36.7476,509509001.7500,0.0014
agx,2023-01-19 16:00:00-05:00,2023-01-19,PM,36.9000,37.6399,36.7200,37.4300,45383,37.1655,516967252.2500,0.0033
agx,2023-01-20 12:00:00-05:00,2023-01-20,AM,37.7000,37.7400,36.7500,37.6500,44770,37.0638,520005798.7500,0.0032
agx,2023-01-20 16:00:00-05:00,2023-01-20,PM,37.6300,38.3000,37.6300,38.0300,55396,38.0241,525254197.2500,0.0040
agx,2023-01-23 12:00:00-05:00,2023-01-23,AM,38.2100,38.3000,37.7500,38.2101,45961,38.0747,527741661.9075,0.0033
agx,2023-01-23 16:00:00-05:00,2023-01-23,PM,38.2400,38.6800,38.2400,38.4700,36886,38.4950,531331290.2500,0.0027
agx,2023-01-24 12:00:00-05:00,2023-01-24,AM,38.2550,38.4700,38.1300,38.2100,7288,38.2566,527740280.7500,0.0005
agx,2023-01-24 16:00:00-05:00,2023-01-24,PM,38.2100,38.7100,38.2100,38.3000,44366,38.3812,528983322.5000,0.0032
agx,2023-01-25 12:00:00-05:00,2023-01-25,AM,38.3500,38.3500,37.9100,38.0800,4419,38.1136,525944776.0000,0.0003
agx,2023-01-25 16:00:00-05:00,2023-01-25,PM,38.0800,38.1500,37.8700,37.9000,50273,37.9709,523458692.5000,0.0036
